county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Baltimore,Daylight,Single Vehicle,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Other,Raining,Fixed Object,Other Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore,Dark Lights On,Other,Raining,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
Queen Anne's,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Same Direction Rear End,Not Applicable,Other Vehicle,Fixed Object,No Defects,Injury Crash
Baltimore,Daylight,Unknown,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Allegany,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Dorchester,Daylight,Single Vehicle,Raining,Overturn,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Talbot,Daylight,Other,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Allegany,Daylight,Same Direction Rear End,Raining,Other Conveyance,Other Conveyance,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Head On,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Wicomico,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Single Vehicle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Unknown,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Other,Raining,Parked Vehicle,Fixed Object,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Unknown,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark No Lights,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Frederick,Daylight,Head On Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Howard,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Fatal Crash
Baltimore,Daylight,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Not Applicable,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Montgomery,Unknown,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Other,Unknown,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Washington,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Not Applicable,Other,Not Applicable,Parked Vehicle,Not Applicable,Not Applicable,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Fatal Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Backing,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Talbot,Dark No Lights,Single Vehicle,Raining,Off Road,Not Applicable,No Defects,Property Damage Crash
Harford,Dark No Lights,Single Vehicle,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Not Applicable,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Pedestrian,Pedestrian,No Defects,Injury Crash
Baltimore City,Dark Lights On,Head On Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Wicomico,Dark No Lights,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Carroll,Daylight,Head On Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Washington,Daylight,Single Vehicle,Raining,Off Road,Not Applicable,No Defects,Injury Crash
